Адрес	Широта	Долгота	"Уникальный идентификатор объявления"	"Начало размещения"	"Окончание размещения"	"Способ размещения"	"Услуга продвижения"	"Номер объявления на Авито"	"Контактное лицо"	"Номер телефона"	"Идентификатор адреса"	"Способ связи"	Addresses	"Адреса отгрузки"	Категория	"Описание объявления"	"Названия фото"	"Ссылки на фото"	"Ссылка на видео"	"Настройка цены целевого действия"	"Настройка цены целевого действия: автоматическая"	"Настройка цены целевого действия: ручная"	"Название объявления"	"Интернет звонки"	"Устройства для приёма звонков"	"Способ доставки"	"Вес (Для Доставки)"	"Длина (Для Доставки)"	"Высота (Для Доставки)"	"Ширина (Для Доставки)"	Возвраты	"Субсидирование доставки"	Цена	"URL видеофайла"	"Вид товара"	"Вид объявления"	"Тип товара"	"Вид запчасти"	"Тип детали двигателя"	Состояние	Происхождение	Доступность	Производитель	"Номер детали OEM"	"Производитель оригинала"	"Номер оригинала"	"Авто для которых подходит запчасть"	"Включая НДС"	"Оптовые продажи"	"Тип минимального заказа"	"Количество в минимальном заказе"	Фасовка	"Количество в фасовке"	"В чём измеряются товары"	"Скидка за опт"	"Размер скидки за опт"
"Оренбургская обл., Оренбург, пр. Автоматики, 8А"			8461416467					8461416467							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A1
Город: Оренбургская обл., Оренбург, пр. Автоматики, 8А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/orenburg/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a1_8461416467"							"Двигатель Senova X25 A151A1"										107100							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			8460939672					8460939672							"Запчасти и аксессуары"	"Двигатель Geely Otaka MR479QA-8A
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_geely_otaka_mr479qa-8a_8460939672"							"Двигатель Geely Otaka MR479QA-8A"										89100							new																
"Республика Крым, Симферополь, Киевская ул., 146В"			8460924105					8460924105							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A1
Город: Республика Крым, Симферополь, Киевская ул., 146В
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a1_8460924105"							"Двигатель Senova X25 A151A1"										107100							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			8460850671					8460850671							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8460850671"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Краснодарский край, Краснодар, Новороссийская ул., 57/6"			8447181515					8447181515							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Краснодарский край, Краснодар, Новороссийская ул., 57/6
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/krasnodar/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8447181515"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Чувашская Республика — Чувашия, г.о. Чебоксары, Ленинский район, пл. Республики"			8417638723					8417638723							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Чувашская Республика — Чувашия, г.о. Чебоксары, Ленинский район, пл. Республики
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/cheboksary/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8417638723"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Пермский край, Пермь, Маршрутная ул., 19"			8417464543					8417464543							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Пермский край, Пермь, Маршрутная ул., 19
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/perm/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8417464543"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Пензенская обл., Пенза, пл. Ленина"			8417384241					8417384241							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Пензенская обл., Пенза, пл. Ленина
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8417384241"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			8417352166					8417352166							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A20
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a20_8417352166"							"Двигатель Senova X25 A151A20"										119000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			8417294955					8417294955							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A2
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a2_8417294955"							"Двигатель Senova X25 A151A2"										119000							new																
