"Уникальный идентификатор объявления";"Способ размещения";"Номер объявления на Авито";"Номер телефона";Адрес;"Способ связи";Категория;"Описание объявления";"Ссылки на фото";"Название объявления";Цена;"Вид товара";"Вид объявления";"Тип товара";"Вид запчасти";"Тип детали двигателя";Состояние;Происхождение;Доступность;Производитель;"Номер детали OEM";TypeID;AvitoDateEnd;AvitoStatus;"Название компании";Почта
8479539402;Package;8479539402;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7884124187;Package;7884124187;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7884103966;Package;7884103966;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7883977162;Package;7883977162;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7883937036;Package;7883937036;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7852831109;Package;7852831109;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7852813785;Package;7852813785;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7852728395;Package;7852728395;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7852725725;Package;7852725725;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7852621016;Package;7852621016;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7852465315;Package;7852465315;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
7852193896;Package;7852193896;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8461632003;Package;8461632003;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8403257491;Package;8403257491;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8479670397;Package;8479670397;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8478968309;Package;8478968309;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8460996882;Package;8460996882;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8448395556;Package;8448395556;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8425707024;Package;8425707024;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8403580068;Package;8403580068;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8395575589;Package;8395575589;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8395145008;Package;8395145008;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394973063;Package;8394973063;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394229114;Package;8394229114;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8387374748;Package;8387374748;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8376849137;Package;8376849137;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8374395671;Package;8374395671;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8374159427;Package;8374159427;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8341590337;Package;8341590337;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8341539978;Package;8341539978;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8327090214;Package;8327090214;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8326818427;Package;8326818427;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8323994802;Package;8323994802;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8323889265;Package;8323889265;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8314814899;Package;8314814899;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8314028767;Package;8314028767;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8313891614;Package;8313891614;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8305802270;Package;8305802270;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8305674817;Package;8305674817;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8303949336;Package;8303949336;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8302063077;Package;8302063077;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8276636502;Package;8276636502;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8251610115;Package;8251610115;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8461708512;Package;8461708512;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8403521746;Package;8403521746;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8403078530;Package;8403078530;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394230647;Package;8394230647;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8386574741;Package;8386574741;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8386418397;Package;8386418397;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8375737768;Package;8375737768;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8374052230;Package;8374052230;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8367206874;Package;8367206874;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8367170311;Package;8367170311;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8367081985;Package;8367081985;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8341363154;Package;8341363154;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8341076656;Package;8341076656;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8323955621;Package;8323955621;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8301859054;Package;8301859054;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8276799544;Package;8276799544;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8276677661;Package;8276677661;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8276403743;Package;8276403743;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8276024082;Package;8276024082;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8264855759;Package;8264855759;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8264190771;Package;8264190771;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8481771653;Package;8481771653;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8481627066;Package;8481627066;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8480983626;Package;8480983626;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8480884168;Package;8480884168;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8479438599;Package;8479438599;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8461736679;Package;8461736679;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8461272365;Package;8461272365;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8460943575;Package;8460943575;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8460855940;Package;8460855940;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8448302903;Package;8448302903;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8447915436;Package;8447915436;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8425782396;Package;8425782396;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8425039122;Package;8425039122;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8421804738;Package;8421804738;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8419778543;Package;8419778543;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8419156275;Package;8419156275;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8419125319;Package;8419125319;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8419001366;Package;8419001366;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8417879129;Package;8417879129;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8403651065;Package;8403651065;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8403398792;Package;8403398792;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8395696538;Package;8395696538;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394845959;Package;8394845959;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394832111;Package;8394832111;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394798385;Package;8394798385;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394747806;Package;8394747806;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8394480499;Package;8394480499;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8377467262;Package;8377467262;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8377318958;Package;8377318958;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8376874586;Package;8376874586;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8375439350;Package;8375439350;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8374425290;Package;8374425290;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8374326782;Package;8374326782;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8374108677;Package;8374108677;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8367383171;Package;8367383171;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8367198013;Package;8367198013;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8367167982;Package;8367167982;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8349469960;Package;8349469960;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8349457461;Package;8349457461;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8349363878;Package;8349363878;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8349295830;Package;8349295830;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8349274292;Package;8349274292;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8349172354;Package;8349172354;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
8348855026;Package;8348855026;;;;"Запчасти и аксессуары";;;;0;;;;;;new;;;;;;18.10_26;removed;;
